system:index,month,month_temp,year,.geo
61,2.0,13400.40909090909,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,3.0,13788.5,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,4.0,14377.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,5.0,14603.423076923076,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6.0,14836.833333333334,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,7.0,14901.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,8.0,14889.8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,9.0,14564.047619047618,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,10.0,14167.04347826087,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,11.0,13943.444444444445,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,12.0,13682.4,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,1.0,13372.24,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2.0,13271.8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,3.0,13697.666666666666,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,4.0,14056.52380952381,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,5.0,14680.74074074074,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,6.0,14954.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7.0,14887.5,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,8.0,15014.28,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,9.0,14822.464285714286,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,10.0,14491.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,11.0,13831.826086956522,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,12.0,13354.2,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,1.0,13329.791666666666,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2.0,13292.55,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,3.0,13577.04347826087,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,4.0,14406.32,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,5.0,14498.782608695652,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,6.0,14680.206896551725,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,7.0,14848.6,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,8.0,14780.612903225807,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9.0,14670.846153846154,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,10.0,14293.82142857143,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,11.0,13793.576923076924,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,12.0,13511.952380952382,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1.0,13164.785714285714,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2.0,13419.818181818182,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,3.0,13918.04,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,4.0,14301.47619047619,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,5.0,14535.857142857143,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,6.0,14778.809523809523,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,7.0,14706.888888888889,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,8.0,14790.851851851852,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,9.0,14659.25925925926,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10.0,14129.681818181818,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,11.0,13979.357142857143,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,12.0,13433.818181818182,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,1.0,13359.62962962963,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2.0,13388.29411764706,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,3.0,13911.592592592593,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,4.0,14508.666666666666,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,5.0,14717.347826086956,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,6.0,14687.25,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,7.0,14931.551724137931,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,8.0,14866.333333333334,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,9.0,14626.2,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,10.0,14315.91304347826,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11.0,14003.307692307691,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,12.0,13345.518518518518,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1.0,13177.846153846154,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2.0,13349.263157894737,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,3.0,13631.48,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,4.0,14128.75,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,5.0,14508.08695652174,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,6.0,14751.08,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,7.0,15035.034482758621,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,8.0,14848.82142857143,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,9.0,14702.36,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,10.0,14358.08695652174,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,11.0,13992.25,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,12.0,13556.96,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1.0,13287.407407407407,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2.0,13626.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,3.0,14150.862068965518,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,4.0,14360.260869565218,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,5.0,14726.392857142857,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,6.0,14866.222222222223,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,7.0,15082.966666666667,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,8.0,14933.444444444445,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,9.0,14692.814814814816,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,10.0,14323.722222222223,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,11.0,13915.923076923076,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,12.0,13574.625,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1.0,13426.518518518518,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2.0,13323.380952380952,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,3.0,13694.416666666666,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,4.0,14179.652173913044,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,5.0,14663.862068965518,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,6.0,14735.08,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,7.0,14858.2,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,8.0,14827.967741935483,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,9.0,14664.153846153846,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,10.0,14385.285714285714,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,11.0,13766.615384615385,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,12.0,13342.952380952382,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,1.0,13123.74074074074,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2.0,13203.217391304348,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,3.0,13459.807692307691,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,4.0,14172.904761904761,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,5.0,14528.07142857143,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,6.0,14832.318181818182,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,7.0,14773.25925925926,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,8.0,14782.714285714286,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,9.0,14651.296296296296,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,10.0,14338.166666666666,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,11.0,13712.260869565218,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,12.0,13600.315789473685,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,1.0,13262.74074074074,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2.0,12992.695652173914,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,3.0,13611.384615384615,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,4.0,14252.26923076923,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,5.0,14695.285714285714,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,6.0,14695.73076923077,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,7.0,14878.357142857143,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,8.0,14786.103448275862,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,9.0,14794.76923076923,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,10.0,14307.904761904761,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,11.0,14080.24,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
